,2016,2015,2014,2013,2012,2011,2010,2009,2008,2005,2001,2004,2007,2006,1989,2002,2003,1999,1995
senses,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
foolish,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forbidden,0,5,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
obazuaye,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
dissembling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,1,8,3,7,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0
carmelita,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hopi,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resolution,24,27,2,7,4,3,1,0,0,3,0,0,1,0,0,1,0,0,0
rosenberg,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
joni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wedding,4,14,3,0,4,2,0,0,0,0,2,0,2,0,0,0,0,0,0
marry,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gregarious,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
animation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pals,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finest,3,2,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
g35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rigid,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fahey,1,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
dunlins,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hampton,2,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
underpass,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
interpret,1,1,0,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0
walked,228,396,165,108,93,37,5,1,2,1,10,3,9,0,0,1,4,0,0
want,310,480,157,64,102,56,13,4,2,5,32,7,17,0,0,11,10,1,0
infection,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roscop,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
largemouth,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
incident,368,463,267,146,131,92,16,2,0,0,6,1,1,0,0,4,0,0,0
polices,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
decisive,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perfecting,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
represented,28,33,15,8,6,3,2,0,1,0,1,0,2,0,0,0,0,20,0
monticello,1,4,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hoses,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
groskopf,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cookouts,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roaming,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fiduciary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melees,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
“mind,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mysteries,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delphia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meth,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
skycap,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
professional,37,48,17,9,8,6,14,4,1,0,2,0,6,2,0,4,3,6,0
boosted,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passion,3,16,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
misspelled,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coddled,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hint,5,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
rudolph,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boasting,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marathoners,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serologist,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
misappropriation,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schoell,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
elina,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
wigoda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spotter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10000,1,18,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
recognicance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
numbering,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devie,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dropouts,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24f9exf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaze,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elemental,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
romelia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biographer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
